"data";"valor"
"01/01/1995";"3368,9"
"01/02/1995";"4097,5"
"01/03/1995";"4806,3"
"01/04/1995";"3948,1"
"01/05/1995";"4981,8"
"01/06/1995";"4981,2"
"01/07/1995";"4087,3"
"01/08/1995";"4545,8"
"01/09/1995";"3771,9"
"01/10/1995";"4160,4"
"01/11/1995";"4221,3"
"01/12/1995";"4016,6"
"01/01/1996";"3523,5"
"01/02/1996";"3518,7"
"01/03/1996";"3960,3"
"01/04/1996";"4157,2"
"01/05/1996";"4333,5"
"01/06/1996";"4251,9"
"01/07/1996";"4889,8"
"01/08/1996";"4744,6"
"01/09/1996";"4831,3"
"01/10/1996";"5579,5"
"01/11/1996";"4838,9"
"01/12/1996";"5718,2"
"01/01/1997";"2588,7"
"01/02/1997";"4318,8"
"01/03/1997";"4788,9"
"01/04/1997";"5590,1"
"01/05/1997";"4789,3"
"01/06/1997";"5270,8"
"01/07/1997";"5852,2"
"01/08/1997";"5433,0"
"01/09/1997";"5495,5"
"01/10/1997";"5713,6"
"01/11/1997";"5332,3"
"01/12/1997";"5364,6"
"01/01/1998";"4712,1"
"01/02/1998";"4020,5"
"01/03/1998";"5245,9"
"01/04/1998";"4705,1"
"01/05/1998";"4814,2"
"01/06/1998";"4777,6"
"01/07/1998";"5479,1"
"01/08/1998";"4232,7"
"01/09/1998";"5810,2"
"01/10/1998";"5530,8"
"01/11/1998";"4812,5"
"01/12/1998";"4532,2"
"01/01/1999";"3746,2"
"01/02/1999";"3235,9"
"01/03/1999";"4134,5"
"01/04/1999";"3757,4"
"01/05/1999";"4172,0"
"01/06/1999";"4545,9"
"01/07/1999";"4114,9"
"01/08/1999";"4548,6"
"01/09/1999";"4319,9"
"01/10/1999";"4539,8"
"01/11/1999";"4617,8"
"01/12/1999";"4526,7"
"01/01/2000";"3654,6"
"01/02/2000";"4133,1"
"01/03/2000";"4535,3"
"01/04/2000";"4078,3"
"01/05/2000";"4776,3"
"01/06/2000";"4681,7"
"01/07/2000";"4960,4"
"01/08/2000";"5502,0"
"01/09/2000";"5143,6"
"01/10/2000";"5327,2"
"01/11/2000";"5234,2"
"01/12/2000";"4949,7"
"01/01/2001";"5088,2"
"01/02/2001";"4086,7"
"01/03/2001";"5530,6"
"01/04/2001";"4693,7"
"01/05/2001";"5236,6"
"01/06/2001";"4842,7"
"01/07/2001";"4938,3"
"01/08/2001";"5176,0"
"01/09/2001";"4246,2"
"01/10/2001";"4837,7"
"01/11/2001";"4299,7"
"01/12/2001";"3592,5"
"01/01/2002";"3886,4"
"01/02/2002";"3483,6"
"01/03/2002";"3749,1"
"01/04/2002";"4225,8"
"01/05/2002";"4154,3"
"01/06/2002";"3488,1"
"01/07/2002";"5105,9"
"01/08/2002";"4258,1"
"01/09/2002";"4087,3"
"01/10/2002";"4369,9"
"01/11/2002";"3936,1"
"01/12/2002";"3530,1"
"01/01/2003";"3740,0"
"01/02/2003";"3973,1"
"01/03/2003";"3787,0"
"01/04/2003";"4081,5"
"01/05/2003";"3946,4"
"01/06/2003";"3603,9"
"01/07/2003";"4122,6"
"01/08/2003";"3811,5"
"01/09/2003";"4702,4"
"01/10/2003";"5108,0"
"01/11/2003";"4348,3"
"01/12/2003";"4082,6"
"01/01/2004";"4293,7"
"01/02/2004";"3833,8"
"01/03/2004";"5422,8"
"01/04/2004";"4713,7"
"01/05/2004";"4918,0"
"01/06/2004";"5614,8"
"01/07/2004";"5613,4"
"01/08/2004";"5708,2"
"01/09/2004";"5834,9"
"01/10/2004";"5932,1"
"01/11/2004";"6161,1"
"01/12/2004";"5767,0"
"01/01/2005";"5349,7"
"01/02/2005";"5072,0"
"01/03/2005";"5998,5"
"01/04/2005";"5423,9"
"01/05/2005";"6462,9"
"01/06/2005";"6257,3"
"01/07/2005";"6147,8"
"01/08/2005";"7784,3"
"01/09/2005";"6401,4"
"01/10/2005";"6327,0"
"01/11/2005";"6806,2"
"01/12/2005";"6661,2"
"01/01/2006";"6552,3"
"01/02/2006";"6072,5"
"01/03/2006";"7814,9"
"01/04/2006";"6845,9"
"01/05/2006";"7383,6"
"01/06/2006";"7464,2"
"01/07/2006";"8085,3"
"01/08/2006";"9212,2"
"01/09/2006";"8207,8"
"01/10/2006";"8830,4"
"01/11/2006";"8761,2"
"01/12/2006";"7301,0"
"01/01/2007";"8563,0"
"01/02/2007";"7340,9"
"01/03/2007";"9628,0"
"01/04/2007";"8382,6"
"01/05/2007";"9904,5"
"01/06/2007";"9417,2"
"01/07/2007";"10896,8"
"01/08/2007";"11683,5"
"01/09/2007";"10832,9"
"01/10/2007";"12481,2"
"01/11/2007";"12175,8"
"01/12/2007";"10735,7"
"01/01/2008";"12487,8"
"01/02/2008";"12100,0"
"01/03/2008";"11772,9"
"01/04/2008";"12477,7"
"01/05/2008";"15374,6"
"01/06/2008";"16016,8"
"01/07/2008";"17279,4"
"01/08/2008";"17596,4"
"01/09/2008";"17403,3"
"01/10/2008";"17329,4"
"01/11/2008";"13236,4"
"01/12/2008";"11632,3"
"01/01/2009";"10397,0"
"01/02/2009";"7917,3"
"01/03/2009";"10136,2"
"01/04/2009";"8692,5"
"01/05/2009";"9437,6"
"01/06/2009";"9951,3"
"01/07/2009";"11343,8"
"01/08/2009";"10875,7"
"01/09/2009";"12633,1"
"01/10/2009";"12844,7"
"01/11/2009";"12127,2"
"01/12/2009";"12378,5"
"01/01/2010";"11578,5"
"01/02/2010";"11892,0"
"01/03/2010";"15124,6"
"01/04/2010";"13965,0"
"01/05/2010";"14345,1"
"01/06/2010";"14929,4"
"01/07/2010";"16430,1"
"01/08/2010";"16907,5"
"01/09/2010";"17843,0"
"01/10/2010";"16642,3"
"01/11/2010";"17507,0"
"01/12/2010";"15674,6"
"01/01/2011";"14955,6"
"01/02/2011";"15680,7"
"01/03/2011";"17866,2"
"01/04/2011";"18459,3"
"01/05/2011";"19828,0"
"01/06/2011";"19399,8"
"01/07/2011";"19247,1"
"01/08/2011";"22396,1"
"01/09/2011";"20342,5"
"01/10/2011";"19886,7"
"01/11/2011";"21346,9"
"01/12/2011";"18468,6"
"01/01/2012";"17584,7"
"01/02/2012";"16448,1"
"01/03/2012";"19032,3"
"01/04/2012";"18852,5"
"01/05/2012";"20418,2"
"01/06/2012";"18703,2"
"01/07/2012";"18289,2"
"01/08/2012";"19295,3"
"01/09/2012";"17596,2"
"01/10/2012";"20381,5"
"01/11/2012";"20824,2"
"01/12/2012";"17648,5"
"01/01/2013";"20132,8"
"01/02/2013";"16951,3"
"01/03/2013";"19265,1"
"01/04/2013";"21756,3"
"01/05/2013";"21187,0"
"01/06/2013";"18955,3"
"01/07/2013";"22838,7"
"01/08/2013";"20338,6"
"01/09/2013";"19016,2"
"01/10/2013";"23171,0"
"01/11/2013";"19273,8"
"01/12/2013";"18256,0"
"01/01/2014";"19852,4"
"01/02/2014";"18185,7"
"01/03/2014";"17672,4"
"01/04/2014";"19347,6"
"01/05/2014";"20234,0"
"01/06/2014";"18251,6"
"01/07/2014";"21645,2"
"01/08/2014";"19470,7"
"01/09/2014";"20683,3"
"01/10/2014";"19700,2"
"01/11/2014";"18253,0"
"01/12/2014";"17414,1"
"01/01/2015";"16481,4"
"01/02/2015";"15108,4"
"01/03/2015";"16746,1"
"01/04/2015";"14781,8"
"01/05/2015";"14224,7"
"01/06/2015";"15273,3"
"01/07/2015";"15830,0"
"01/08/2015";"12994,0"
"01/09/2015";"13384,8"
"01/10/2015";"14226,2"
"01/11/2015";"12788,3"
"01/12/2015";"10629,9"
"01/01/2016";"10011,1"
"01/02/2016";"10494,7"
"01/03/2016";"11760,9"
"01/04/2016";"10728,0"
"01/05/2016";"11344,5"
"01/06/2016";"12991,3"
"01/07/2016";"11977,9"
"01/08/2016";"13094,5"
"01/09/2016";"12221,5"
"01/10/2016";"11623,7"
"01/11/2016";"11708,1"
"01/12/2016";"11766,7"
"01/01/2017";"12452,9"
"01/02/2017";"11129,7"
"01/03/2017";"13688,7"
"01/04/2017";"11569,0"
"01/05/2017";"13097,8"
"01/06/2017";"13534,6"
"01/07/2017";"13402,6"
"01/08/2017";"14952,5"
"01/09/2017";"14389,2"
"01/10/2017";"14757,8"
"01/11/2017";"14139,1"
"01/12/2017";"13487,7"
"01/01/2018";"15291,5"
"01/02/2018";"15419,9"
"01/03/2018";"14853,8"
"01/04/2018";"15144,4"
"01/05/2018";"14303,9"
"01/06/2018";"15456,0"
"01/07/2018";"19828,5"
"01/08/2018";"20152,9"
"01/09/2018";"15240,1"
"01/10/2018";"17376,7"
"01/11/2018";"18134,6"
"01/12/2018";"13967,6"
"01/01/2019";"17825,5"
"01/02/2019";"13938,3"
"01/03/2019";"14456,1"
"01/04/2019";"15161,1"
"01/05/2019";"16507,7"
"01/06/2019";"14491,5"
"01/07/2019";"19484,8"
"01/08/2019";"18242,1"
"01/09/2019";"17944,9"
"01/10/2019";"18690,1"
"01/11/2019";"15676,6"
"01/12/2019";"13806,8"
"01/01/2020";"17835,2"
"01/02/2020";"14684,0"
"01/03/2020";"16106,4"
"01/04/2020";"12755,7"
"01/05/2020";"14340,6"
"01/06/2020";"11488,9"
"01/07/2020";"12641,8"
